ESOI	genotype	subset	invdl_iel	invdl_c4	invdl_c8	invdl_reg	overlapping_clones	clones
34_s_8	zap	s_8	18.4465532843478	54.6499907185657	16.9123558712736	9.99110012581298	299	6105
35_s_8	zap	s_8	17.3139751067702	60.3005480818341	10.5052916745011	11.8801851368947	108	3461
103_s_r	wt	s_r	5.94498706550391	41.2256913126993	6.77025262039434	46.0590690014024	624	6043
107_s_r	wt	s_r	2.30165849910929	41.7571286677043	10.6559362077375	45.2852766254488	851	6371
92_s_r	wt	s_r	5.15410713532558	48.4750998060396	5.64990014674004	40.7208929118948	875	6947
93_s_r	wt	s_r	3.7586097921304	38.7333082055317	12.1788332509351	45.3292487514029	424	4071
99_s_r	wt	s_r	4.2799601849363	37.4548885931823	7.20913359728146	51.0560176246	517	4377
104_s_r	zap	s_r	30.4468070563159	45.1144901311321	12.215966964871	12.222735847681	521	7254
105_s_r	zap	s_r	29.5136533097983	48.1955920606447	10.5470798371132	11.7436747924438	283	5619
32_s_r	zap	s_r	63.2802377060469	24.4248940626204	8.16469799986024	4.13017023147246	152	4405
33_s_r	zap	s_r	55.65044069693	30.0040163972651	7.1949555420994	7.15058736370557	221	7208
34_s_r	zap	s_r	68.2864264012517	19.128471495155	11.2747088797057	1.31039322388764	107	3739
35_s_r	zap	s_r	58.3327927887554	23.7148003876474	12.4328174995358	5.51958932406138	126	4860
